Date,Open,High,Low,Close
07/17/2023,"4,508.86","4,532.85","4,504.90","4,522.79"
07/14/2023,"4,514.61","4,527.76","4,499.56","4,505.42"
07/13/2023,"4,491.50","4,517.38","4,489.36","4,510.04"
07/12/2023,"4,467.69","4,488.34","4,463.23","4,472.16"
07/11/2023,"4,415.55","4,443.64","4,408.46","4,439.26"
07/10/2023,"4,394.23","4,412.60","4,389.92","4,409.53"
07/07/2023,"4,404.54","4,440.39","4,397.40","4,398.95"
07/06/2023,"4,422.62","4,422.62","4,385.05","4,411.59"
07/05/2023,"4,442.04","4,454.06","4,436.61","4,446.82"
07/03/2023,"4,449.45","4,456.46","4,442.29","4,455.59"
06/30/2023,"4,422.44","4,458.48","4,422.44","4,450.38"
06/29/2023,"4,374.94","4,398.39","4,371.97","4,396.44"
06/28/2023,"4,367.48","4,390.35","4,360.22","4,376.86"
06/27/2023,"4,337.36","4,384.42","4,335.00","4,378.41"
06/26/2023,"4,344.84","4,362.06","4,328.08","4,328.82"
06/23/2023,"4,354.17","4,366.55","4,341.34","4,348.33"
06/22/2023,"4,355.40","4,382.25","4,351.82","4,381.89"
06/21/2023,"4,380.01","4,386.22","4,360.14","4,365.69"
06/20/2023,"4,396.11","4,400.15","4,367.19","4,388.71"
06/16/2023,"4,442.70","4,448.47","4,407.44","4,409.59"
06/15/2023,"4,365.33","4,439.20","4,362.60","4,425.84"
06/14/2023,"4,366.29","4,391.82","4,337.85","4,372.59"
06/13/2023,"4,352.61","4,375.37","4,349.31","4,369.01"
06/12/2023,"4,308.32","4,340.13","4,304.37","4,338.93"
06/09/2023,"4,304.88","4,322.62","4,291.70","4,298.86"
06/08/2023,"4,268.69","4,298.01","4,261.07","4,293.93"
06/07/2023,"4,285.47","4,299.19","4,263.96","4,267.52"
06/06/2023,"4,271.34","4,288.33","4,263.09","4,283.85"
06/05/2023,"4,282.99","4,299.28","4,266.82","4,273.79"
06/02/2023,"4,241.01","4,290.67","4,241.01","4,282.37"
06/01/2023,"4,183.03","4,232.43","4,171.64","4,221.02"
05/31/2023,"4,190.74","4,195.44","4,166.15","4,179.83"
05/30/2023,"4,226.71","4,231.10","4,192.18","4,205.52"
05/26/2023,"4,155.98","4,212.87","4,156.16","4,205.45"
05/25/2023,"4,155.71","4,165.74","4,129.73","4,151.28"
05/24/2023,"4,132.96","4,132.96","4,103.98","4,115.24"
05/23/2023,"4,176.80","4,185.68","4,142.54","4,145.58"
05/22/2023,"4,190.78","4,209.22","4,179.68","4,192.63"
05/19/2023,"4,204.15","4,212.91","4,180.20","4,191.98"
05/18/2023,"4,157.68","4,202.20","4,153.50","4,198.05"
05/17/2023,"4,122.85","4,164.67","4,113.62","4,158.77"
05/16/2023,"4,127.95","4,135.54","4,109.86","4,109.90"
05/15/2023,"4,126.65","4,141.25","4,110.27","4,136.28"
05/12/2023,"4,138.54","4,143.74","4,099.12","4,124.08"
05/11/2023,"4,132.24","4,132.80","4,109.29","4,130.62"
05/10/2023,"4,143.74","4,154.28","4,098.92","4,137.64"
05/09/2023,"4,124.25","4,130.35","4,116.65","4,119.17"
05/08/2023,"4,136.98","4,142.30","4,123.81","4,138.12"
05/05/2023,"4,084.73","4,147.02","4,084.73","4,136.25"
05/04/2023,"4,082.55","4,082.61","4,048.28","4,061.22"
05/03/2023,"4,122.25","4,148.30","4,088.86","4,090.75"
05/02/2023,"4,164.10","4,164.10","4,089.72","4,119.58"
05/01/2023,"4,166.79","4,186.92","4,164.12","4,167.87"
04/28/2023,"4,129.63","4,170.06","4,127.18","4,169.48"
04/27/2023,"4,075.29","4,138.24","4,075.29","4,135.35"
04/26/2023,"4,087.78","4,089.67","4,049.35","4,055.99"
04/25/2023,"4,126.43","4,126.43","4,071.38","4,071.63"
04/24/2023,"4,132.07","4,142.41","4,117.77","4,137.04"
04/21/2023,"4,132.14","4,138.02","4,113.86","4,133.52"
04/20/2023,"4,130.48","4,148.57","4,114.57","4,129.79"
04/19/2023,"4,139.33","4,162.57","4,134.49","4,154.52"
04/18/2023,"4,164.26","4,169.48","4,140.36","4,154.87"
04/17/2023,"4,137.17","4,151.72","4,123.18","4,151.32"
04/14/2023,"4,140.11","4,163.19","4,113.20","4,137.64"
04/13/2023,"4,100.04","4,150.26","4,099.40","4,146.22"
04/12/2023,"4,121.72","4,134.37","4,086.94","4,091.95"
04/11/2023,"4,110.29","4,124.26","4,102.61","4,108.94"
04/10/2023,"4,085.20","4,109.50","4,072.55","4,109.11"
04/06/2023,"4,081.58","4,107.32","4,069.84","4,105.02"
04/05/2023,"4,094.50","4,099.69","4,072.56","4,090.38"
04/04/2023,"4,128.03","4,133.13","4,086.87","4,100.60"
04/03/2023,"4,102.20","4,127.66","4,098.79","4,124.51"
03/31/2023,"4,056.18","4,110.75","4,056.18","4,109.31"
03/30/2023,"4,046.74","4,057.85","4,032.10","4,050.83"
03/29/2023,"3,999.53","4,030.59","3,999.53","4,027.81"
03/28/2023,"3,974.13","3,979.20","3,951.53","3,971.27"
03/27/2023,"3,982.93","4,003.83","3,970.49","3,977.53"
03/24/2023,"3,939.21","3,972.74","3,909.16","3,970.99"
03/23/2023,"3,959.21","4,007.66","3,919.05","3,948.72"
03/22/2023,"4,002.04","4,039.49","3,936.17","3,936.97"
03/21/2023,"3,975.89","4,009.08","3,971.19","4,002.87"
03/20/2023,"3,917.47","3,956.62","3,916.89","3,951.57"
03/17/2023,"3,958.69","3,958.91","3,901.27","3,916.64"
03/16/2023,"3,878.93","3,964.46","3,864.11","3,960.28"
03/15/2023,"3,876.74","3,894.26","3,838.24","3,891.93"
03/14/2023,"3,894.01","3,937.29","3,873.63","3,919.29"
03/13/2023,"3,835.12","3,905.05","3,808.86","3,855.76"
03/10/2023,"3,912.77","3,934.05","3,846.32","3,861.59"
03/09/2023,"3,998.66","4,017.81","3,908.70","3,918.32"
03/08/2023,"3,987.55","4,000.41","3,969.76","3,992.01"
03/07/2023,"4,048.26","4,050.00","3,980.31","3,986.37"
03/06/2023,"4,055.15","4,078.49","4,044.61","4,048.42"
03/03/2023,"3,998.02","4,048.29","3,995.17","4,045.64"
03/02/2023,"3,938.68","3,990.84","3,928.16","3,981.35"
03/01/2023,"3,963.34","3,971.73","3,939.05","3,951.39"
02/28/2023,"3,977.19","3,997.50","3,968.98","3,970.15"
02/27/2023,"3,992.36","4,018.05","3,973.55","3,982.24"
02/24/2023,"3,973.24","3,978.25","3,943.08","3,970.04"
02/23/2023,"4,018.60","4,028.30","3,969.19","4,012.32"
02/22/2023,"4,001.83","4,017.37","3,976.90","3,991.05"
02/21/2023,"4,052.35","4,052.35","3,995.19","3,997.34"
02/17/2023,"4,077.73","4,081.51","4,047.95","4,079.09"
02/16/2023,"4,114.75","4,136.54","4,089.49","4,090.41"
02/15/2023,"4,119.50","4,148.11","4,103.98","4,147.60"
02/14/2023,"4,126.70","4,159.77","4,095.01","4,136.13"
02/13/2023,"4,096.62","4,138.90","4,092.67","4,137.29"
02/10/2023,"4,068.92","4,094.36","4,060.79","4,090.46"
02/09/2023,"4,144.25","4,156.23","4,069.67","4,081.50"
02/08/2023,"4,153.47","4,156.85","4,111.67","4,117.86"
02/07/2023,"4,105.35","4,176.54","4,088.39","4,164.00"
02/06/2023,"4,119.57","4,124.63","4,093.38","4,111.08"
02/03/2023,"4,136.69","4,182.36","4,123.36","4,136.48"
02/02/2023,"4,158.68","4,195.44","4,141.88","4,179.76"
02/01/2023,"4,070.07","4,148.95","4,037.20","4,119.21"
01/31/2023,"4,020.85","4,077.16","4,020.44","4,076.60"
01/30/2023,"4,049.27","4,063.85","4,015.55","4,017.77"
01/27/2023,"4,053.72","4,094.21","4,048.70","4,070.56"
01/26/2023,"4,036.08","4,061.57","4,013.29","4,060.43"
01/25/2023,"3,982.71","4,019.55","3,949.06","4,016.22"
01/24/2023,"4,001.74","4,023.92","3,989.79","4,016.95"
01/23/2023,"3,978.14","4,039.31","3,971.64","4,019.81"
01/20/2023,"3,909.04","3,972.96","3,897.86","3,972.61"
01/19/2023,"3,911.84","3,922.94","3,885.54","3,898.85"
01/18/2023,"4,002.25","4,014.16","3,926.59","3,928.86"
01/17/2023,"3,999.28","4,015.39","3,984.57","3,990.97"
01/13/2023,"3,960.32","4,003.95","3,947.67","3,999.09"
01/12/2023,"3,977.57","3,997.76","3,937.56","3,983.17"
01/11/2023,"3,932.35","3,970.07","3,928.54","3,969.61"
01/10/2023,"3,888.57","3,919.83","3,877.29","3,919.25"
01/09/2023,"3,910.82","3,950.57","3,890.42","3,892.09"
01/06/2023,"3,823.37","3,906.19","3,809.56","3,895.08"
01/05/2023,"3,839.74","3,839.74","3,802.42","3,808.10"
01/04/2023,"3,840.36","3,873.16","3,815.77","3,852.97"
01/03/2023,"3,853.29","3,878.46","3,794.33","3,824.14"
